title,risk_factor,abstract,cord_uid
Characterization of acute kidney injury in critically ill patients with severe coronavirus disease 2019,kidney,"BACKGROUND: Coronavirus disease 2019 (COVID-19)-associated acute kidney injury (AKI) frequency, severity and characterization in critically ill patients has not been reported. METHODS: Single-centre cohort performed from 3 March 2020 to 14 April 2020 in four intensive care units in Bordeaux University Hospital, France. All patients with COVID-19 and pulmonary severity criteria were included. AKI was defined using Kidney Disease: Improving Global Outcomes (KDIGO) criteria. A systematic urinary analysis was performed. The incidence, severity, clinical presentation, biological characterization (transient versus persistent AKI; proteinuria, haematuria and glycosuria) and short-term outcomes were evaluated. RESULTS: Seventy-one patients were included, with basal serum creatinine (SCr) of 69 ? 21 ?mol/L. At admission, AKI was present in 8/71 (11%) patients. Median [interquartile range (IQR)] follow-up was 17 (12??3) days. AKI developed in a total of 57/71 (80%) patients, with 35% Stage 1, 35% Stage 2 and 30% Stage 3 AKI; 10/57 (18%) required renal replacement therapy (RRT). Transient AKI was present in only 4/55 (7%) patients and persistent AKI was observed in 51/55 (93%). Patients with persistent AKI developed a median (IQR) urine protein/creatinine of 82 (54??40) (mg/mmol) with an albuminuria/proteinuria ratio of 0.23 ? 20, indicating predominant tubulointerstitial injury. Only two (4%) patients had glycosuria. At Day 7 after onset of AKI, six (11%) patients remained dependent on RRT, nine (16%) had SCr >200 ?mol/L and four (7%) had died. Day 7 and Day 14 renal recovery occurred in 28% and 52%, respectively. CONCLUSION: Severe COVID-19-associated AKI is frequent, persistent, severe and characterized by an almost exclusive tubulointerstitial injury without glycosuria.",mrznt2dx
Coronavirus disease 2019 in chronic kidney disease,kidney,"The clinical spectrum of coronavirus disease 2019 (COVID-19) infection ranges from asymptomatic infection to severe pneumonia with respiratory failure and even death More severe cases with higher mortality have been reported in older patients and in those with chronic illness such as hypertension, diabetes or cardiovascular diseases In this regard, patients with chronic kidney disease (CKD) have a higher rate of all-type infections and cardiovascular disease than the general population A markedly altered immune system and immunosuppressed state may predispose CKD patients to infectious complications Likewise, they have a state of chronic systemic inflammation that may increase their morbidity and mortality In this review we discuss the chronic immunologic changes observed in CKD patients, the risk of COVID-19 infections and the clinical implications for and specific COVID-19 therapy in CKD patients Indeed, the risk for severe COVID-19 is 3-fold higher in CKD than in non-CKD patients;CKD is 12-fold more frequent in intensive care unit than in non-hospitalized COVID-19 patients, and this ratio is higher than for diabetes or cardiovascular disease;and acute COVID-19 mortality is 15-25% for haemodialysis patients even when not developing pneumonia",1wpv7uee
Coronavirus disease 2019: acute Fanconi syndrome precedes acute kidney injury,kidney,"BACKGROUND: Recent data have shown that severe acute respiratory syndrome coronavirus 2 can infect renal proximal tubular cells via Angiotensin Converting Enzyme 2 (ACE2) . Our objective was to determine whether Fanconi syndrome is a frequent clinical feature in coronavirus disease 2019 (COVID-19) patients. METHODS: A retrospective cohort of 42 laboratory-confirmed COVID-19 patients without history of kidney disease hospitalized in University Hospital of Nancy was investigated. Patients were admitted to the intensive care unit (ICU) (n = 28) or the Medical department (n = 14) and were screened at least once for four markers of proximal tubulopathy. RESULTS: The mean (standard deviation) follow-up was 19.7 (?12.2) days. Of the patients, 75% (30/40) showed at least two proximal tubule abnormalities (incomplete Fanconi syndrome). The main disorders were proteinuria (88%, n = 35), renal phosphate leak defined by renal phosphate threshold/glomerular filtration rate (TmPi/GFR) <0.77 (55%, n = 22), hyperuricosuria (43%, n = 17) and normoglycaemic glycosuria (30%, n = 12). At the time of the first renal evaluation, ICU patients presented more frequent (96 versus 62%, P = 0.0095) and more severe (844 ? 343 versus 350 ? 221 mg/g, P = 0.0001) proteinuria, and a trend for an increased number of proximal tubule abnormalities (P = 0.038). During follow-up, they presented a lower nadir of serum phosphate [median (interquartile range) 0.68 (0.43??.76) versus 0.77 (0.66??.07) mmol/L, P = 0.044] and Acute kidney Injury (AKI) during the hospitalization (P = 0.045). Fanconi syndrome preceded severe AKI KDIGO Stages 2 and 3 in 88% (7/8) of patients. Proximal tubular abnormalities (such as proteinuria, TmPi/GFR and glycosuria in five, two and two patients, respectively) were not detected anymore in recovering patients before hospital discharge. CONCLUSION: Incomplete Fanconi syndrome is highly frequent in COVID-19 patients and precedes AKI or disappears during the recovery phase.",oinbicza
Fatal Outcomes of COVID-19 in Patients with Severe Acute Kidney Injury,kidney,"The outcome of coronavirus disease 2019 (COVID-19) is associated with organ damage; however, the information about the relationship between acute kidney injury (AKI) and COVID-19 is still rare. We evaluated the clinical features and prognosis of COVID-19 patients with AKI according to the AKI severity. Medical data of hospitalized COVID-19 patients in two university-based hospitals during an outbreak in Daegu, South Korea, were retrospectively analyzed. AKI and its severity were defined according to the Acute Kidney Injury Network. Of the 164 hospitalized patients with COVID-19, 30 patients (18.3%) had AKI; 14, 4, and 12 patients had stage 1, 2, and 3, respectively. The median age was significantly higher in AKI patients than in non-AKI patients (75.5 vs. 67.0 years, p = 0.005). There were 17 deaths (56.7%) among AKI patients; 4 (28.6%), 1 (25.0%), and 12 (100.0%), respectively. In-hospital mortality was higher in AKI patients than in non-AKI patients (56.7% vs. 20.8%, p < 0.001). After adjusting for potential confounding factors, stage 3 AKI was associated with higher mortality than either non-AKI or stage 1 AKI (hazard ratio (HR) = 3.62 (95% confidence interval (CI) = 1.75-7.48), p = 0.001; HR = 15.65 (95% CI = 2.43-100.64), p = 0.004). Among the AKI patients, acute respiratory distress syndrome and low serum albumin on admission were considered independent risk factors for stage 3 AKI (both p < 0.05). Five patients with stage 3 AKI underwent dialysis and eventually died. In conclusion, COVID-19 patients with severe AKI had fatal outcomes.",5r8owr1c
Prognosis of COVID-19 in Patients with Liver and Kidney Diseases: An Early Systematic Review and Meta-Analysis,kidney,"The mortality and severity in COVID-19 is increased in patients with comorbidities. The aim of this study was to evaluate the severity and mortality in COVID-19 patients with underlying kidney and liver diseases. We retrieved data on the clinical features and primary composite end point of COVID-19 patients from Medline and Embase which had been released from inception by the April 16, 2020. The data on two comorbidities, liver diseases and chronic kidney disease, were pooled and statistically analysed to explain the associated severity and mortality rate. One hundred and forty-Two abstracts were screened, and 41 full articles were then read. In total, 22 studies including 5595 COVID-19 patients were included in this study with case fatality rate of 16%. The prevalence of liver diseases and chronic kidney disease (CKD) were 3% (95% CI; 2-3%) and 1% (95% CI; 1-2%), respectively. In patients with COVID-19 and underlying liver diseases, 57.33% (43/75) of cases were severe, with 17.65% mortality, while in CKD patients, 83.93% (47/56) of cases were severe and 53.33% (8/15) mortality was reported. This study found an increased risk of severity and mortality in COVID-19 patients with liver diseases or CKD. This will lead to better clinical management and inform the process of implementing more stringent preventative measures for this group of patients.",itdbrj6k
The Chronic Kidney Disease and Acute Kidney Injury Involvement in COVID-19 Pandemic: A Systematic Review and Meta-analysis,kidney,"Aim: The aim of this study was to uncover whether kidney diseases were involved in COVID-19 pandemic from a systematic review. Methods: The studies reported the kidney outcomes in different severity of COVID-19 were included in this study. Standardized mean differences or odds ratios were calculated by employing Review Manager meta-analysis software. Results: Thirty-six trials were included in this systematic review with a total of 6395 COVID-19 patients. The overall effects indicated that the comorbidity of chronic kidney disease (CKD) (OR = 3.28), complication of acute kidney injury (AKI) (OR = 11.02), serum creatinine (SMD = 0.68), abnormal serum creatinine (OR = 4.86), blood urea nitrogen (SMD = 1.95), abnormal blood urea nitrogen (OR = 6.53), received continuous renal replacement therapy (CRRT) (OR = 23.63) was significantly increased in severe group than that in nonsevere group. Additionally, the complication of AKI (OR = 13.92) and blood urea nitrogen (SMD = 1.18) were remarkably elevated in critical group than that in severe group. Conclusion: CKD and AKI are susceptible to occur in patients with severe COVID-19. CRRT is applied frequently in severe COVID-19 patients than that in nonsevere COVID-19 patients. The risk of AKI is higher in critical group than that in severe group.",dobqll92
A prospective clinical study of detailed neurological manifestations in patients with COVID-19,neuro,"BACKGROUND: COVID-19 is a virus pandemic. According to the first obtained data, COVID-19 has defined with findings such as cough, fever, diarrhea, and fatigue although neurological symptoms of patients with COVID-19 have not been investigated in detail. This study aims to investigate the neurological findings via obtained face-to-face anamnesis and detailed neurological examination in patients with COVID-19. METHODS: Two hundred thirty-nine consecutive inpatients with COVID-19, supported with laboratory tests, were evaluated. Detailed neurological examinations and evaluations of all patients were performed. All evaluations and examinations were performed by two neurologists who have at least five-year experience. RESULTS: This study was carried out 239 patients (133 male + 106 female) with diagnosed COVID-19. Neurological findings were present in 83 of 239 patients (34.7%). The most common neurological finding was a headache (27.6%). D-dimer blood levels were detected to be significantly higher in patients with at least one neurological symptom than patients without the neurological symptom (p < 0.05). IL-6 level was found to be significantly higher in patients with headache than without headache (p < 0.05). Creatine kinase (CK) level was detected to be significantly higher in patients with muscle pain (p < 0.05). CONCLUSION: Neurological symptoms are often seen in patients with COVID-19. Headache was the most common seen neurological symptom in this disease. Dizziness, impaired consciousness, smell and gustation impairments, cerebrovascular disorders, epileptic seizures, and myalgia were detected as other findings apart from the headache. It is suggested that determining these neurological symptoms prevents the diagnosis delay and helps to prohibit virus spread.",rcguim61
Acute Myelitis as a Neurological Complication ofCovid-19:A Case Report and MRI Findings,neuro,"During the recent outbreak of COVID-19 caused by SARS-CoV-2 coronavirus, there is rising concerns about neurological complications of COVID-19. Fever, headache and anosmia may occur early during the disease course. Other neurological sequalae such as encephalitis may occur in later phases. We report a case of acute myelitis in a 32 year old male Covid-19 positive patient who presented with a two-day history of flu-like symptoms then sudden onset paraplegia and urinary retention. The incidence is not known and the pathogenesis of the disease behind this manifestation is still not fully understood. Nevertheless considering the broad differential diagnosis of acute myelitis, prompt clinical and diagnostic work up was crucial to exclude other causes. Patients presenting with neurological symptoms such as loss of consciousness, ataxia, convulsions, status epilepticus, encephalitis, myelitis or neuritis should raise concerns for Covid-19 infection during this pandemic prompting early diagnosis and initiation of proper management.",ow0t0o6r
Application of Healthcare ??ig Data??in CNS Drug Research: The Example of the Neurological and mental health Global Epidemiology Network (NeuroGEN),neuro,"Neurological and psychiatric (mental health) disorders have a large impact on health burden globally. Cognitive disorders (including dementia) and stroke are leading causes of disability. Mental health disorders, including depression, contribute up to one-third of total years lived with disability. The Neurological and mental health Global Epidemiology Network (NeuroGEN) is an international multi-database network that harnesses administrative and electronic medical records from Australia, Asia, Europe and North America. Using these databases NeuroGEN will investigate medication use and health outcomes in neurological and mental health disorders. A key objective of NeuroGEN is to facilitate high-quality observational studies to address evidence-practice gaps where randomized controlled trials do not provide sufficient information on medication benefits and risks that is specific to vulnerable population groups. International multi-database research facilitates comparisons across geographical areas and jurisdictions, increases statistical power to investigate small subpopulations or rare outcomes, permits early post-approval assessment of safety and effectiveness, and increases generalisability of results. Through bringing together international researchers in pharmacoepidemiology, NeuroGEN has the potential to be paradigm-changing for observational research to inform evidence-based prescribing. The first focus of NeuroGEN will be to address evidence-gaps in the treatment of chronic comorbidities in people with dementia.",uuzv5z0k
Challenges and management of neurological and psychiatric manifestations in SARS-CoV-2 (COVID-19) patients,neuro,"COVID-19 is a pandemic caused by human coronavirus (HCoV) SARS-CoV-2, which originated in Wuhan, China, at the end of 2019 and spread globally during 2020. Due to the difficulty of clinical decision-making during this period, our study group reviewed current literature focusing on the neurological and psychiatric aspects of COVID-19. Despite the knowledge on this newly discovered virus which is constantly evolving, different pieces of evidence reported an association between COVID-19 and neurological symptoms like headache, dizziness, taste and smell disorders and complications involving the nervous system eventually triggered by the pathologic processes elicited by SARS-CoV-2. It seems that younger patients are less prone to develop severe forms of COVID-19. However, neurological signs have been reported in paediatric patients as well, and in some cases, the infection presented neurological sequelae. Furthermore, children with particular neurological diseases or treated with specific drugs (e.g. immune-suppressant therapies) must be carefully monitored during this pandemic. Neurologists should be aware of the main drug-drug interactions and the neurological side effects of COVID-19 treatments. Notably, adverse mental health impact has been reported in patients with SARS-CoV-2, which could be related either to the social strain or to the eventual neurotropic effects of the virus, which in other infections have been proven to promote the onset of psychiatric symptoms. Further, psychiatric population may be more vulnerable to the infection and at higher risk for adverse outcomes.",ibg0cid9
Chronic Neurology in COVID-19 Era: Clinical Considerations and Recommendations From the REPROGRAM Consortium,neuro,"With the rapid pace and scale of the emerging coronavirus 2019 (COVID-19) pandemic, a growing body of evidence has shown a strong association of COVID-19 with pre- and post- neurological complications. This has necessitated the need to incorporate targeted neurological care for this subgroup of patients which warrants further reorganization of services, healthcare workforce, and ongoing management of chronic neurological cases. The social distancing and the shutdown imposed by several nations in the midst of COVID-19 have severely impacted the ongoing care, access and support of patients with chronic neurological conditions such as Multiple Sclerosis, Epilepsy, Neuromuscular Disorders, Migraine, Dementia, and Parkinson disease. There is a pressing need for governing bodies including national and international professional associations, health ministries and health institutions to harmonize policies, guidelines, and recommendations relating to the management of chronic neurological conditions. These harmonized guidelines should ensure patient continuity across the spectrum of hospital and community care including the well-being, safety, and mental health of the patients, their care partners and the health professionals involved. This article provides an in-depth analysis of the impact of COVID-19 on chronic neurological conditions and specific recommendations to minimize the potential harm to those at high risk.",guf50o1x
Clinical characteristics of 106 patients with neurological diseases and co-morbid coronavirus disease 2019: a retrospective study,neuro,"Objectives:To describe the clinical characteristics of patients with coronavirus disease 2019 (COVID-19) with co-morbid neurological symptoms. Design:Retrospective case series. Setting:Huoshenshan Hospital in Wuhan, China. Participants:From 4 February to 14 April 2020, 106 patients with neurological diseases were enrolled from all patients in the hospital with confirmed COVID-19 and divided into a severe group and a nonsevere group according to their COVID-19 diagnosis. Main outcome measures:Clinical characteristics, laboratory results, imaging findings, and treatment methods were all retrieved through an electronic medical records system and recorded in spreadsheets. Results:The mean (standard deviation, SD) age of patients was 72.7 (11.8) years, and 64 patients were male (60.4%). Among patients with co-morbid neurological diseases, 81 had a previous cerebral infarction (76.4%), 20 had dementia (18.9%), 10 had acute cerebral infarction (9.4%), 5 had sequelae of cerebral haemorrhage (4.7%), 4 had intracranial mass lesions (3.8%), 3 had epilepsy (2.8%), 2 had Parkinsons disease (1.9%), and 1 had myelopathy (0.9%). Fever (n = 62, 58.5%) was the most common symptom. The most common neurological symptoms were myalgia (n = 26, 24.5%), followed by extremity paralysis (n = 20, 18.9%), impaired consciousness (n = 17, 16%), and positive focal neurological signs (n = 42, 39.6%). Eight patients (7.5%) died. There were more patients with altered mental status in the severe group than in the non-severe group (6 [10.2%] vs. 0, P = 0.033). The inflammatory response in the severe group was more significant than that in the non-severe group. There were more patients taking anticoagulant drugs (25 [42.4%] vs. 4 [8.5%], P < 0.001) and sedative drugs (22 [37.3%] vs. 9 [19.1%], P = 0.041) in the severe group than in the non-severe group. Amid all 93 patients with cerebrovascular diseases, only 32 (34.4%) were taking aspirin, 13 (14%) taking clopidogrel, and 33 (35.5%) taking statins. Conclusions:Patients with COVID-19 with co-morbid neurological diseases had an advanced age, a high rate of severe illness, and a high mortality rate. Among the neurological symptoms, altered mental status was more common in patients with severe COVID-19 with co-morbid neurological diseases.",glmshsh6
Consensus for prevention and management of coronavirus disease 2019 (COVID-19) for neurologists,neuro,"Coronavirus disease 2019 (COVID-19) has become a pandemic disease globally. Although COVID-19 directly invades lungs, it also involves the nervous system. Therefore, patients with nervous system involvement as the presenting symptoms in the early stage of infection may easily be misdiagnosed and their treatment delayed. They become silent contagious sources or 'virus spreaders'. In order to help neurologists to better understand the occurrence, development and prognosis, we have developed this consensus of prevention and management of COVID-19. It can also assist other healthcare providers to be familiar with and recognise COVID-19 in their evaluation of patients in the clinic and hospital environment.",7dgwrn85
Exploring the clinical association between neurological symptoms and COVID-19 pandemic outbreak: a systematic review of current literature,neuro,"OBJECT: The novel severe acute respiratory syndrome (SARS)-CoV-2 outbreak has been declared a pandemic in March, 2020. An increasing body of evidence suggests that patients with the coronavirus disease (COVID-19) might have a heterogeneous spectrum of neurological symptoms METHODS: A systematic search of two databases was performed for studies published up to May 29th, 2020. PRISMA guidelines were followed. RESULTS: We included 19 studies evaluating 12,157 patients with laboratory-confirmed COVID-19 infections. The median age of patients was 50.3 (IQR 11.9), and the rate of male patients was 50.6% (95% CI 49.2-51.6%). The most common reported comorbidities were hypertension and diabetes (31.1%, 95% CI 30-32.3% and 13.5%, 95% CI 12.3-14.8%, respectively). Headache was reported in 7.5% of patients (95% CI 6.6-8.4%), and dizziness in 6.1% (95% CI 5.1-7.1%). Hypo/anosmia, and gustatory dysfunction were reported in 46.8 and 52.3%, of patients, respectively. Symptoms related to muscular injury ranged between 15 and 30%. Three studies reported radiological confirmed acute cerebrovascular disease in 2% of patients (95% CI 1.6-2.4%). CONCLUSIONS: These data support accumulating evidence that a significant proportion of patients with COVID-19 infection develop neurological manifestations, especially olfactory, and gustatory dysfunction. The pathophysiology of this association is under investigation and warrants additional studies, Physicians should be aware of this possible association because during the epidemic period of COVID-19, early recognition of neurologic manifestations otherwise not explained would raise the suspect of acute respiratory syndrome coronavirus 2 infection.",h1hag2ta
Neurological Comorbidity Is a Predictor of Death in Covid-19 Disease: A Cohort Study on 576 Patients,neuro,"Introduction: Prognosis of Coronavirus disease 2019 (Covid-19) patients with vascular risk factors, and certain comorbidities is worse The impact of chronic neurological disorders (CND) on prognosis is unclear We evaluated if the presence of CND in Covid-19 patients is a predictor of a higher in-hospital mortality As secondary endpoints, we analyzed the association between CND, Covid-19 severity, and laboratory abnormalities during admission Methods: Retrospective cohort study that included all the consecutive hospitalized patients with confirmed Covid-19 disease from March 8th to April 11th, 2020 The study setting was Hospital Cl?nico, tertiary academic hospital from Valladolid CND was defined as those neurological conditions causing permanent disability We assessed demography, clinical variables, Covid-19 severity, laboratory parameters and outcome The primary endpoint was in-hospital all-cause mortality, evaluated by multivariate cox-regression log rank test We analyzed the association between CND, covid-19 severity and laboratory abnormalities Results: We included 576 patients, 43 3% female, aged 67 2 years in mean CND were present in 105 (18 3%) patients Patients with CND were older, more disabled, had more vascular risk factors and comorbidities and fewer clinical symptoms of Covid-19 They presented 1 43 days earlier to the emergency department Need of ventilation support was similar Presence of CND was an independent predictor of death (HR 2 129, 95% CI: 1 382?? 280) but not a severer Covid-19 disease (OR: 1 75, 95% CI: 0 970?? 158) Frequency of laboratory abnormalities was similar, except for procalcitonin and INR Conclusions: The presence of CND is an independent predictor of mortality in hospitalized Covid-19 patients That was not explained neither by a worse immune response to Covid-19 nor by differences in the level of care received by patients with CND",5gtayuz9
Neurological Insights of COVID-19 Pandemic,neuro,"The novel coronavirus SARS-CoV-2, which was identified after a recent outbreak in Wuhan, China, in December 2019, has kept the whole world in tenterhooks due to its severe life-threatening nature of the infection. The virus is unlike its previous counterparts, SARS-CoV and MERS-CoV, or anything the world has encountered before both in terms of virulence and severity of the infection. If scientific reports relevant to the SARS-CoV-2 virus are noted, it can be seen that the virus owes much of its killer properties to its unique structure that has a stronger binding affinity with the human angiotensin-converting enzyme 2 (hACE2) protein, which the viruses utilize as an entry point to gain accesses to its hosts. Recent reports suggest that it is not just the lung that the virus may be targeting; the human brain may soon emerge as the new abode of the virus. Already instances of patients with COVID-19 have been reported with mild (anosmia and ageusia) to severe (encephalopathy) neurological manifestations, and if that is so, then it gives us more reasons to be frightened of this killer virus. Keeping in mind that the situation does not worsen from here, immediate awareness and more thorough research regarding the neuroinvasive nature of the virus is the immediate need of the hour. Scientists globally also need to up their game to design more specific therapeutic strategies with the available information to counteract the pandemic. In this Viewpoint, we provide a brief outline of the currently known neurological manifestations of COVID-19 and discuss some probable ways to design therapeutic strategies to overcome the present global crisis.",1pbuywz6
Neurological Manifestations in Critically Ill Patients With COVID-19: A Retrospective Study,neuro,"Background: The complications of coronavirus disease 2019 (COVID-19) involved multiple organs or systems, especially in critically ill patients We aim to investigate the neurological complications in critically ill patients with COVID-19 Methods: This retrospective single-center case series analyzed critically ill patients with COVID-19 at the intensive care unit of Tongji Hospital, Wuhan, China from February 5 to April 2, 2020 Demographic data, clinical and laboratory findings, comorbidities and treatments were collected and analyzed Results: Among 86 patients with confirmed COVID-19, 54 patients (62 8%) were male, and the mean (SD) age was 66 6 (11 1) years Overall, 65% patients presented with at least one neurological symptom Twenty patients (23 3%) had symptoms involving the central nervous system, including delirium, cerebrovascular diseases and hypoxic-ischemic brain injury, while 6 patients (7%) had neuromuscular involvement Seven of 86 patients exhibited new stroke and 6 (7%) cases were ischemic A significantly higher prevalence of antiphospholipid antibodies was observed in patients with ischemic stroke than in those without stroke (83 3 vs 26 9%, p &lt; 0 05) Patients with ischemic stroke were more likely to have a higher myoglobulin level, and a lower hemoglobin level Conclusions: The clinical spectrum of neurological complications in critically ill patients with COVID-19 was broad Stroke, delirium and neuromuscular diseases are common neurological complications of COVID-19 Physicians should pay close attention to neurological complications in critically ill patients with COVID-19",27fb8ug2
"Neurological Manifestations of Hospitalized Patients with COVID-19 in Wuhan, China: a retrospective case series study",neuro,"OBJECTIVE: To study the neurological manifestations of patients with coronavirus disease 2019 (COVID-19). DESIGN: Retrospective case series SETTING: Three designated COVID-19 care hospitals of the Union Hospital of Huazhong University of Science and Technology in Wuhan, China. PARTICIPANTS: Two hundred fourteen hospitalized patients with laboratory confirmed diagnosis of severe acute respiratory syndrome from coronavirus 2 (SARS-CoV-2) infection. Data were collected from 16 January 2020 to 19 February 2020. MAIN OUTCOME MEASURES: Clinical data were extracted from electronic medical records and reviewed by a trained team of physicians. Neurological symptoms fall into three categories: central nervous system (CNS) symptoms or diseases (headache, dizziness, impaired consciousness, ataxia, acute cerebrovascular disease, and epilepsy), peripheral nervous system (PNS) symptoms (hypogeusia, hyposmia, hypopsia, and neuralgia), and skeletal muscular symptoms. Data of all neurological symptoms were checked by two trained neurologists. RESULTS: Of 214 patients studied, 88 (41.1%) were severe and 126 (58.9%) were non-severe patients. Compared with non-severe patients, severe patients were older (58.7 ? 15.0 years vs 48.9 ? 14.7 years), had more underlying disorders (42 [47.7%] vs 41 [32.5%]), especially hypertension (32 [36.4%] vs 19 [15.1%]), and showed less typical symptoms such as fever (40 [45.5%] vs 92 [73%]) and cough (30 [34.1%] vs 77 [61.1%]). Seventy-eight (36.4%) patients had neurologic manifestations. More severe patients were likely to have neurologic symptoms (40 [45.5%] vs 38 [30.2%]), such as acute cerebrovascular diseases (5 [5.7%] vs 1 [0.8%]), impaired consciousness (13 [14.8%] vs 3 [2.4%]) and skeletal muscle injury (17 [19.3%] vs 6 [4.8%]). CONCLUSION: Compared with non-severe patients with COVID-19, severe patients commonly had neurologic symptoms manifested as acute cerebrovascular diseases, consciousness impairment and skeletal muscle symptoms.",niw61l9r
Neurological and Musculoskeletal Features of COVID-19: A Systematic Review and Meta-Analysis,neuro,"Importance: Some of the symptoms of COVID-19 are fever, cough, and breathing difficulty However, the mechanism of the disease, including some of the symptoms such as the neurological and musculoskeletal symptoms, is still poorly understood Objective: The aim of this review is to summarize the evidence on the neurological and musculoskeletal symptoms of the disease This may help with early diagnosis, prevention of disease spread, and treatment planning Data Sources: MEDLINE, EMBASE, Web of Science, and Google Scholar (first 100 hits) were searched until April 17, 2020 The key search terms used were ""coronavirus"" and ""signs and symptoms "" Only studies written in English were included Study Selection: The selection was performed by two independent reviewers using EndNote and Rayyan software Any disagreement was resolved by consensus or by a third reviewer Data Extraction and Synthesis: PRISMA guidelines were followed for abstracting data and assessing the quality of the studies These were carried out by two and three independent reviewers, respectively Any disagreement was resolved by consensus or by a third reviewer The data were analyzed using qualitative synthesis and pooled using a random-effect model Main Outcome(s) and Measure(s): The outcomes in the study include country, study design, participant details (sex, age, sample size), and neurological and musculoskeletal features Result: Sixty studies (n = 11, 069) were included in the review, and 51 studies were used in the meta-analysis The median or mean age ranged from 24 to 95 years The prevalence of neurological and musculoskeletal manifestations was 35% for smell impairment (95% CI 0-94%;I (2) 99 63%), 33% for taste impairment (95% CI 0-91%;I (2) 99 58%), 19% for myalgia (95% CI 16-23;I (2) 95%), 12% for headache (95% CI 9-15;I (2) 93 12%), 10% for back pain (95% CI 1-23%;I (2) 80 20%), 10% for dizziness (95% CI 3-19%;I (2) 86 74%), 3% for acute cerebrovascular disease (95% CI 1-5%;I (2) 0%), and 2% for impaired consciousness (95% CI 1-2%;I (2) 0%) Conclusion and Relevance: Patients with COVID-19 present with neurological and musculoskeletal symptoms Therefore, clinicians need to be vigilant in the diagnosis and treatment of these patients",8s5s30u8
Neurological associations of COVID-19,neuro,"BACKGROUND: The COVID-19 pandemic, caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), is of a scale not seen since the 1918 influenza pandemic. Although the predominant clinical presentation is with respiratory disease, neurological manifestations are being recognised increasingly. On the basis of knowledge of other coronaviruses, especially those that caused the severe acute respiratory syndrome and Middle East respiratory syndrome epidemics, cases of CNS and peripheral nervous system disease caused by SARS-CoV-2 might be expected to be rare. RECENT DEVELOPMENTS: A growing number of case reports and series describe a wide array of neurological manifestations in 901 patients, but many have insufficient detail, reflecting the challenge of studying such patients. Encephalopathy has been reported for 93 patients in total, including 16 (7%) of 214 hospitalised patients with COVID-19 in Wuhan, China, and 40 (69%) of 58 patients in intensive care with COVID-19 in France. Encephalitis has been described in eight patients to date, and Guillain-Barr? syndrome in 19 patients. SARS-CoV-2 has been detected in the CSF of some patients. Anosmia and ageusia are common, and can occur in the absence of other clinical features. Unexpectedly, acute cerebrovascular disease is also emerging as an important complication, with cohort studies reporting stroke in 2??% of patients hospitalised with COVID-19. So far, 96 patients with stroke have been described, who frequently had vascular events in the context of a pro-inflammatory hypercoagulable state with elevated C-reactive protein, D-dimer, and ferritin. WHERE NEXT? Careful clinical, diagnostic, and epidemiological studies are needed to help define the manifestations and burden of neurological disease caused by SARS-CoV-2. Precise case definitions must be used to distinguish non-specific complications of severe disease (eg, hypoxic encephalopathy and critical care neuropathy) from those caused directly or indirectly by the virus, including infectious, para-infectious, and post-infectious encephalitis, hypercoagulable states leading to stroke, and acute neuropathies such as Guillain-Barr? syndrome. Recognition of neurological disease associated with SARS-CoV-2 in patients whose respiratory infection is mild or asymptomatic might prove challenging, especially if the primary COVID-19 illness occurred weeks earlier. The proportion of infections leading to neurological disease will probably remain small. However, these patients might be left with severe neurological sequelae. With so many people infected, the overall number of neurological patients, and their associated health burden and social and economic costs might be large. Health-care planners and policy makers must prepare for this eventuality, while the many ongoing studies investigating neurological associations increase our knowledge base.",u67euiat
Neurological comorbidity and severity of COVID-19,neuro,"OBJECTIVE: Neurological symptoms of COVID-19 patients have been recently described. However, no comprehensive data have been reported on pre-existing neurological comorbidities and COVID-19. This study aims at evaluating the prevalence of neurological comorbidities, and their association with COVID-19 severity. METHODS: We evaluated all consecutive patients admitted to the Emergency Room (ER) of our hospital between the 3rd March and the 14th April 2020, and diagnosed with COVID-19. Data on neurological and non-neurological diseases were extracted, as well as data on demographic characteristics and on severity degree of COVID-19. The prevalence of neurological comorbidities was calculated, and multivariate binary logistic regression analyses were used to estimate the association between neurological diseases and COVID-19 severity. RESULTS: We included 344 patients. Neurological comorbidities accounted for 22.4% of cases, with cerebrovascular diseases and cognitive impairment being the most frequent. Neurological comorbidity resulted independently associated with severe COVID-19 (OR 2.305; p = 0.012), as well as male gender (p = 0.001), older age (p = 0.001), neoplastic diseases (p = 0.039), and arterial hypertension (p = 0.045). When neurological comorbidity was associated with non-neurological comorbidities, the OR for severe COVID-19 rose to 7.394 (p = 0.005). Neurological patients, in particular cerebrovascular and cognitively impaired ones, received more respiratory support indication. CONCLUSION: Neurological comorbidities represent a significant determinant of COVID-19 severity, deserving a thorough evaluation since the earliest phases of infection. The vulnerability of patients affected by neurological diseases should suggest a greater attention in targeting this population for proactive viral screening.",cjb0daps
